MESSAGE_STATISTICS	1000000, 49493643, 2549582359, 49.493643, 99.96166158855112
The	990532, 4945105, 29901523, 4.992372785533431, 5.263550674177818
brown	990558, 4947887, 29931911, 4.995050264598338, 5.266694864356577
dog	990680, 4948827, 29945869, 4.99538397868131, 5.273729045639875
fox	990598, 4951312, 29971842, 4.998306073704974, 5.27324823752085
jumped	990480, 4951215, 29992357, 4.99880361037073, 5.29259104906539
lazy	990519, 4947372, 29933900, 4.994727006751006, 5.273121928157121
over	990541, 4950986, 29978640, 4.998264584706741, 5.2822669801867015
quick	990504, 4948069, 29927485, 4.995506328091557, 5.259317477432031
sir	990731, 4950442, 29957868, 4.996756940077579, 5.270565451215791
the	990496, 4952428, 29972826, 4.999947501049979, 5.260946028323239
